title,authors,year,doi,url,publisher,type,reference_count,is_referenced_by_count
Accumulation of cadmium by halophyte species Juncus gerardii Loisel,"Radka Podlipná, Kateřina Moťková, Tomáš Vaněk",2011,10.12775/v10090-011-0011-x,https://doi.org/10.12775/v10090-011-0011-x,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,journal-article,0,0
Etude sur la zone halophile en Provence. Végétation des côtes basses,J. Arènes,1924,10.1080/00378941.1924.10833539,https://doi.org/10.1080/00378941.1924.10833539,Informa UK Limited,journal-article,14,0
Nature of the Inactivation of the Isocitrate Dehydrogenase from an Obligate Halophile,"Jerry S. Hubbard, Alan B. Miller",1970,10.1128/jb.102.3.677-681.1970,https://doi.org/10.1128/jb.102.3.677-681.1970,American Society for Microbiology,journal-article,9,14
Genetic and phenotypic analysis of the GacS/GacA system in the moderate halophile Halomonas anticariensis,"Ali Tahrioui, Emilia Quesada, Inmaculada Llamas",2013,10.1099/mic.0.061721-0,https://doi.org/10.1099/mic.0.061721-0,Microbiology Society,journal-article,84,8
Acquisition of an Insertion Peptide for Efficient Aminoacylation by a Halophile tRNA Synthetase,"Caryn Evilia, Ya-Ming Hou",2006,10.1021/bi0521386,https://doi.org/10.1021/bi0521386,American Chemical Society (ACS),journal-article,35,15
Halophyte seed germination,Irwin A. Ungar,1978,10.1007/bf02919080,https://doi.org/10.1007/bf02919080,Springer Science and Business Media LLC,journal-article,167,258
Etude sur la zone halophile en Provence. Végétation des falaises,J. Arènes,1923,10.1080/00378941.1923.10836840,https://doi.org/10.1080/00378941.1923.10836840,Informa UK Limited,journal-article,0,1
"Pyruvate kinase from the moderate halophile, <i>Vibrio costicola</i>","Eveline de Médicis, Bertrand Rossignol",1977,10.1139/o77-122,https://doi.org/10.1139/o77-122,Canadian Science Publishing,journal-article,0,9
Leben im Salz — Halophile Archaea,"Susanne Bickel‐Sandkötter, Martina Ufer, Kerstin Steinert, Michaela Dane",1995,10.1002/biuz.19950250624,https://doi.org/10.1002/biuz.19950250624,Wiley,journal-article,26,0
Comparative toxicity of metal oxide nanoparticles to the moderate halophile  Yangia sp. ND199,"Elrobi, A., Sayed, O. M., Hozayen, W., Dishisha, T.",2025,10.21161/mjm.251029,https://doi.org/10.21161/mjm.251029,Malaysian Journal of Microbiology,journal-article,0,0
Halophyte Adaptation Is Nature's Prodigy to Environmental Changes,Laxmishree S. Chengala,2024,10.1201/9781003504085-15,https://doi.org/10.1201/9781003504085-15,Apple Academic Press,book-chapter,0,0
Inhibition of a Biofilm using Rhamnolipid obtained from a Moderate halophile Pseudomonas aeruginosa SH-6,"Shabib Khan, Lolly Jain",2025,10.52711/0974-360x.2025.00814,https://doi.org/10.52711/0974-360x.2025.00814,A and V Publications,journal-article,24,0
Isolation of Two Strong Poly (U) Binding Proteins from Moderate Halophile Halomonas eurihalina and Their Identification as Cold Shock Proteins,"Usha kumari Garapati, Tangirala Suryanarayana",2012,10.1371/journal.pone.0034409,https://doi.org/10.1371/journal.pone.0034409,Public Library of Science (PLoS),journal-article,23,1
Ecophysiological Responses of the Potential Bioenergy Halophyte Typha Domingensis to the Effects of Salinity,"Rabab  Fatima Rizvi, Saman Ehsen, Bilquees Gul",2023,10.2139/ssrn.4628720,https://doi.org/10.2139/ssrn.4628720,Elsevier BV,posted-content,140,0
"Germination behavior of Seidlitzia rosmarinus Boiss., a perennial halophyte of Arabian deserts",,2019,10.34044/j.anres.2019.53.4.04,https://doi.org/10.34044/j.anres.2019.53.4.04,Kasetsart University and Development Institute,journal-article,0,1
8-Hydroxy-5-deazaflavin-dependent electron transfer in the extreme halophile Halobacterium cutirubrum,"L.E.A. de Wit, A.P.M. Eker",1987,10.1111/j.1574-6968.1987.tb02527.x,https://doi.org/10.1111/j.1574-6968.1987.tb02527.x,Oxford University Press (OUP),journal-article,20,11
,,2025,10.3030/101182148,https://doi.org/10.3030/101182148,Publications Office of the European Union,grant,0,0
Accumulation of cadmium by halophyte species Juncus gerardii Loisel.,"Radka Podlipná, Kateřina Moťková, Tomáš Vaněk",2010,10.2478/v10090-011-0011-x,https://doi.org/10.2478/v10090-011-0011-x,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,journal-article,0,0
Natural Melanin Produced by the Endophytic Bacillus subtilis 4NP-BL Associated with the Halophyte Salicornia brachiata,,,10.1021/acs.jafc.0c01997.s001,https://doi.org/10.1021/acs.jafc.0c01997.s001,American Chemical Society (ACS),component,0,0
Aspects physionomiques de la végétation halo résistante et halophile du Nord et du Sud de l’Algérie occidentale,"A. Sari-Ali, Noury Benabadji, Bahaâ-Eddine Ghezlaoui, Mohamed Bouazza",2011,10.14198/mdtrra2011.22.08,https://doi.org/10.14198/mdtrra2011.22.08,Universidad de Alicante Servicio de Publicaciones,journal-article,0,0
Purification and characterization of a catalase-peroxidase from the alkalitolerant halophile Oceanobacillus oncorhynchi,"Licia Lama, Ida Romano, Valeria Calandrelli, Agata Gambacorta",2007,10.1016/j.jbiotec.2007.07.427,https://doi.org/10.1016/j.jbiotec.2007.07.427,Elsevier BV,journal-article,6,0
"Un nouveau cas de dimorphisme sexuel chez les Schendylidae: Schendylops virgingordae (Crabill, 1960), espèce halophile nouvelle pour la Martinique (Myriapoda, Chilopoda, Geophilomorpha)",Luis Alberto Pereira,1999,10.5962/p.270148,https://doi.org/10.5962/p.270148,Biodiversity Heritage Library,journal-article,0,4
Purification and characterization of a GroEL homologue from the moderately eubacterial halophile Pseudomonas sp. #43,"Masao Tokunaga, Hiroyuki Miyawaki, Yoichi Shiraishi, Hiroko Tokunaga",2006,10.1111/j.1574-6968.1997.tb10446.x,https://doi.org/10.1111/j.1574-6968.1997.tb10446.x,Oxford University Press (OUP),journal-article,14,9
Blocked pollen release prevents fruit formation in the halophyte Elaeagnus angustifolia in non-saline habitats,"Jianrong Guo, Baoshan Wang",2020,10.21203/rs.3.rs-48371/v3,https://doi.org/10.21203/rs.3.rs-48371/v3,Springer Science and Business Media LLC,posted-content,0,1
Halophyte Seed Germination,"M. Ajmal Khan, Bilquees Gul",,10.1007/1-4020-4018-0_2,https://doi.org/10.1007/1-4020-4018-0_2,Springer Netherlands,book-chapter,0,69
Purification and characterization of aspartate aminotransferase from the halophile archaebacterium <i>Haloferax mediterranei</i>,"F J G Muriana, M C Alvarez-Ossorio, A M Relimpio",1991,10.1042/bj2780149,https://doi.org/10.1042/bj2780149,Portland Press Ltd.,journal-article,0,18
Halophyte Definitions and Classifications,"Marius-Nicusor Grigore, Lacramioara Ivanescu, Constantin Toma",2014,10.1007/978-3-319-05729-3_2,https://doi.org/10.1007/978-3-319-05729-3_2,Springer International Publishing,book-chapter,85,1
Halophyte Use and Cultivation,"Ricardo Radulovich, Schery Umanzor",2021,10.1007/978-3-030-57635-6_99,https://doi.org/10.1007/978-3-030-57635-6_99,Springer International Publishing,book-chapter,87,4
HALOPHYTE PLANTS GROWING ON SOILS OF DIFFERENT SALINITY TYPES IN KARAKALPAKSTAN,"Kholida Matjanova, Marina Orel",2025,10.32743/unichem.2025.132.6.20194,https://doi.org/10.32743/unichem.2025.132.6.20194,Siberian Academic Book LLC,journal-article,0,0
"Halophyte quinoa: a potential hyperaccumulator of heavy metals for
phytoremediation",,2022,10.35495/ajab.2021.444,https://doi.org/10.35495/ajab.2021.444,Asian Journal of Agriculture and Biology,journal-article,0,5
Regulation of the Osmotic Tolerance Response in the Halophile Vibrio parahaemolyticus,Laura Amanda Powell,2013,10.1096/fasebj.27.1_supplement.647.5,https://doi.org/10.1096/fasebj.27.1_supplement.647.5,Wiley,journal-article,0,0
Review of Halophyte Feeding Trials with Ruminants,,2015,10.1201/b19862-21,https://doi.org/10.1201/b19862-21,CRC Press,book-chapter,1,0
Graminicolous fungi from Poland. I. Fungi on halophyte Puccinellia distans,"Andrzej Chlebicki, Marlena Lembicz",2014,10.5586/am.2001.012,https://doi.org/10.5586/am.2001.012,Polish Botanical Society,journal-article,0,4
Analysis of the Genome of the Moderate Halophile Halomonas eurihalina,"Inmaculada Llamas, Ma José Sánchez, Montserrat Argandoña, Victoria Béjar, Emilia Quesada, Ana del Moral",2002,10.1007/s00284-001-0109-2,https://doi.org/10.1007/s00284-001-0109-2,Springer Science and Business Media LLC,journal-article,0,9
Structure specific ds&amp;2.urule;ss-RNase activity in the extreme halophile Halobacterium salinarium,"Pelle Stolt, Wolfram Zillig",1993,10.1093/nar/21.24.5595,https://doi.org/10.1093/nar/21.24.5595,Oxford University Press (OUP),journal-article,0,16
"Mechanism of Dissolution of Envelopes of the Extreme Halophile
            <i>Halobacterium cutirubrum</i>","H. Onishi, D. J. Kushner",1966,10.1128/jb.91.2.646-652.1966,https://doi.org/10.1128/jb.91.2.646-652.1966,American Society for Microbiology,journal-article,0,21
"Water adaptive traits of deep-rooted C&lt;SUB&gt;3&lt;/SUB&gt; halophyte (&lt;I&gt;Karelinia caspica&lt;/I&gt; (Pall.) Less.) and shallow-rooted C&lt;SUB&gt;4&lt;/SUB&gt; halophyte (&lt;I&gt;Atriplex tatarica&lt;/I&gt; L.) in an arid region, Northwest China","Yuan FAN, PinFang LI, ZhenAn HOU, TuSheng REN, ChunLian XIONG, Biao ZHANG",2012,10.3724/sp.j.1227.2012.00469,https://doi.org/10.3724/sp.j.1227.2012.00469,China Science Publishing & Media Ltd.,journal-article,35,8
Introduction,"Munir Ozturk, Volkan Altay, Moona Nazish, Mushtaq Ahmad, Muhammad Zafar",2023,10.1007/978-3-031-21944-3_1,https://doi.org/10.1007/978-3-031-21944-3_1,Springer International Publishing,book-chapter,232,0
Une remarque sur la flore halophile des sources minéralisées,M. Pierre Chouard,1922,10.1080/00378941.1922.10833464,https://doi.org/10.1080/00378941.1922.10833464,Informa UK Limited,journal-article,0,0
"Abstract 1356: Cut, Copy, and Paste: Intein-directed invasion of halophile genes","Kallie Poon, Megan Yurchick, Lily Nguyen, Kenneth Mills",2023,10.1016/j.jbc.2023.103462,https://doi.org/10.1016/j.jbc.2023.103462,Elsevier BV,journal-article,0,0
Succulent extreme-halophyte Scorzonera hieraciifolia can acquire salt tolerance through inorganic ion increases and high induced antioxidant system,"Cansu ALTUNTA, Rabiye TERZ",2020,10.22541/au.160133636.67023285,https://doi.org/10.22541/au.160133636.67023285,Wiley,posted-content,0,0
Potential and Role of Halophyte Crops in Saline Environments,,2018,10.1201/9781351171083-27,https://doi.org/10.1201/9781351171083-27,Apple Academic Press,book-chapter,1,1
"CATION-ANION RELATIONSHIPS IN A NONFACULTATIVE HALOPHYTE, Galenia pubescens",A. WALLACE,1982,10.1097/00010694-198207000-00010,https://doi.org/10.1097/00010694-198207000-00010,Ovid Technologies (Wolters Kluwer Health),journal-article,0,1
Correction: Quantitative evaluation of endogenous reference genes for ddPCR under salt stress using a moderate halophile,"Qinghua Xing, Noha M. Mesbah, Haisheng Wang, Jun Li, Baisuo Zhao",2023,10.1007/s00792-023-01307-1,https://doi.org/10.1007/s00792-023-01307-1,Springer Science and Business Media LLC,journal-article,0,0
Optimization of Prodigiosin Production using RSM from Moderate Halophile Inhabiting Solar Salterns,"Dulraj Manjula, Girirajan Reshma, Balaji Rajalakshmi, Selvaraj Vijayanand, Janarthanam Hemapriya",2024,10.33745/ijzi.2024.v10i02.140,https://doi.org/10.33745/ijzi.2024.v10i02.140,Saran Publications,journal-article,0,0
Halophile Inoculation Significantly Improves Growth of Alfalfa Under Saline Conditions,"Ashley Miller, Alisa Knowles, Brent Nielsen, Jonathon Hill",2020,10.1096/fasebj.2020.34.s1.04361,https://doi.org/10.1096/fasebj.2020.34.s1.04361,Wiley,journal-article,0,0
Effect of chloride and glutamate ions on in vitro protein synthesis by the moderate halophile Vibrio costicola,"M Kamekura, D J Kushner",1984,10.1128/jb.160.1.385-390.1984,https://doi.org/10.1128/jb.160.1.385-390.1984,American Society for Microbiology,journal-article,20,19
"Halobacteroides acetoethylicus sp. nov., a New Obligately Anaerobic Halophile Isolated from Deep Subsurface Hypersaline Environments","S. Rengpipat, T.A. Langworthy, J.G. Zeikus",1988,10.1016/s0723-2020(88)80045-6,https://doi.org/10.1016/s0723-2020(88)80045-6,Elsevier BV,journal-article,32,47
"Haloanaerobium fermentans sp. nov., a strictly anaerobic, fermentative halophile isolated from fermented puffer fish ovaries.","T Kobayashi, B Kimura, T Fujii",2000,10.1099/00207713-50-4-1621,https://doi.org/10.1099/00207713-50-4-1621,Microbiology Society,journal-article,0,36
"Halorubrum xinjiangense sp. nov., a novel halophile isolated from saline lakes in China","Jie Feng, Pei-Jin Zhou, Shuang-Jiang Liu",2004,10.1099/ijs.0.63209-0,https://doi.org/10.1099/ijs.0.63209-0,Microbiology Society,journal-article,18,50
Halophyte Transcriptomics,"Joann Diray-Arce, Bilquees Gul, M. Ajmal Khan, Brent Nielsen",2016,10.1016/b978-0-12-801854-5.00010-8,https://doi.org/10.1016/b978-0-12-801854-5.00010-8,Elsevier,book-chapter,77,6
"Evaluation of hexavalent chromium reduction by chromate-resistant moderately halophile, Nesterenkonia sp. strain MF2","Mohammad Ali Amoozegar, Ali Ghasemi, Mohammad Reza Razavi, Saied Naddaf",2007,10.1016/j.procbio.2007.07.001,https://doi.org/10.1016/j.procbio.2007.07.001,Elsevier BV,journal-article,26,56
Regulation of a salt-dependent enzyme: the aspartate transcarbamylase of an extreme halophile,"V. Liebl, J. G. Kaplan, D. J. Kushner",1969,10.1139/o69-175,https://doi.org/10.1139/o69-175,Canadian Science Publishing,journal-article,0,25
Polyhydroxybutyrate (PHB) Production and Mutagenesis of Halophile isolates from the East African Rift Salt Lake,"Saidu M Bashir, Madhuri Girdhar, Hasibur Rehman, Anand Mohan",2014,10.13005/bbra/1516,https://doi.org/10.13005/bbra/1516,Oriental Scientific Publishing Company,journal-article,0,7
Biosynthesis and Biodegradation of Polyhydroxybutyrate from Mangrove Halophyte Priestia Flexa,"Nayana Chathalingath, Joshua Stephen Kingsly, Anbarasi Gunasekar",2022,10.2139/ssrn.4090278,https://doi.org/10.2139/ssrn.4090278,Elsevier BV,journal-article,49,0
Formation and role of glycine betaine in the moderate halophile Vibrio costicola,"C. G. Choquet, I. Ahonkhai, M. Klein, D. J. Kushner",1991,10.1007/bf00248610,https://doi.org/10.1007/bf00248610,Springer Science and Business Media LLC,journal-article,36,7
Pyrolytic conversion of halophyte (Tetraena coccinea),"Khalid Abdulaziz Ali Alshareef, Imtiaz Ali",2020,10.1016/j.biteb.2020.100577,https://doi.org/10.1016/j.biteb.2020.100577,Elsevier BV,journal-article,35,2
Halophyte Use and Cultivation,"Ricardo Radulovich, Schery Umanzor",2020,10.1007/978-3-030-17854-3_99-1,https://doi.org/10.1007/978-3-030-17854-3_99-1,Springer International Publishing,book-chapter,87,1
Effect of Saline-alkali Stress on Seed Germination of the Halophyte Halostachys caspica,"Rui Zhang, Huizhen zhang, lai wang, Youling Zeng",2023,10.21203/rs.3.rs-3078492/v1,https://doi.org/10.21203/rs.3.rs-3078492/v1,Research Square Platform LLC,posted-content,65,1
Physicochemical characterization of polyhydroxybutyrate (PHB) produced by the rare halophile Brachybacterium paraconglomeratum MTCC 13074,"Teja Mandragutti, Tura Safawo Jarso, Sudhakar Godi, S Sharmila Begum, Beulah K",2024,10.1186/s12934-024-02324-1,https://doi.org/10.1186/s12934-024-02324-1,Springer Science and Business Media LLC,journal-article,49,22
THE SALT LIMITS AND THERMAL STABILITY OF A NEW SPECIES OF ANAEROBIC HALOPHILE,J. G. BAUMGARTNER,1937,10.1111/j.1365-2621.1937.tb16523.x,https://doi.org/10.1111/j.1365-2621.1937.tb16523.x,Wiley,journal-article,19,24
,,2021,10.46936/10.25585/60000523,https://doi.org/10.46936/10.25585/60000523,Office of Scientific and Technical Information (OSTI),grant,0,0
The Effect of Nickel on Membrane Integrity and Lipid Composition in Mesembryanthemum crystallinum (halophyte) and Brassica juncea,"Taoufik Amari, Manel Taamalli, Chedly Abdelly",2020,10.7546/crabs.2020.09.17,https://doi.org/10.7546/crabs.2020.09.17,"""Prof. Marin Drinov"" Publishing House of Bulgarian Academy of Sciences",report,0,0
"""The Biology of the Facultative Halophyte Atriplex patula L.""",Richard Stalter,2024,10.26717/bjstr.2024.56.008904,https://doi.org/10.26717/bjstr.2024.56.008904,"Biomedical Research Network, LLC",journal-article,0,0
Novel thrombolytic protease from the rare halophile Brachybacterium paraconglomeratum: bioprocessing and in vitro application,"Mandragutti Teja, Tura Safawo Jarso, Dokka Muni Kumar, Sudhakar Godi",2025,10.1186/s12896-025-00967-5,https://doi.org/10.1186/s12896-025-00967-5,Springer Science and Business Media LLC,journal-article,56,0
The Significant Role of Different Magnesium: Carbonate Minerals Induced by Moderate Halophile &lt;em&gt;Staphylococcus epidermis&lt;/em&gt; Y2,"Zuozhen Han, Wenwen Yu, Yanhong Zhao, Maurice E. Tucker, Huaxiao Yan",2018,10.20944/preprints201811.0064.v1,https://doi.org/10.20944/preprints201811.0064.v1,MDPI AG,posted-content,0,0
Population ecology of halophyte seeds,Irwin A. Ungar,1987,10.1007/bf02858320,https://doi.org/10.1007/bf02858320,Springer Science and Business Media LLC,journal-article,121,96
Aminoacylation of an unusual tRNA<sup>Cys</sup> from an extreme halophile,"CARYN EVILIA, XIAOTIAN MING, SHILADITYA DASSARMA, YA-MING HOU",2003,10.1261/rna.5320603,https://doi.org/10.1261/rna.5320603,Cold Spring Harbor Laboratory,journal-article,31,6
"Properties of the halophilic nuclease of a moderate halophile, Micrococcus varians subsp. halophilus","M Kamekura, H Onishi",1978,10.1128/jb.133.1.59-65.1978,https://doi.org/10.1128/jb.133.1.59-65.1978,American Society for Microbiology,journal-article,0,21
